Predict Base,Probability Interval,Probability Previous,Probability Next,Time Previous,Time Next,classe
1,0.19048,0.09091,0.36364,10,1,0
1,0.19048,0.18182,0.27273,1,1,0
1,0.19048,0.27273,0.18182,1,1,0
1,0.19048,0.36364,0.09091,1,10,0
0,0.19048,0.36364,0.0,1,10,0
0,0.19048,0.36364,0.0,2,10,0
0,0.19048,0.36364,0.0,3,10,0
0,0.19048,0.36364,0.0,4,10,0
0,0.2381,0.36364,0.09091,5,10,0
0,0.28571,0.36364,0.18182,6,9,0
0,0.28571,0.36364,0.18182,7,8,0
0,0.2381,0.27273,0.18182,8,7,0
0,0.19048,0.18182,0.18182,9,6,0
0,0.14286,0.09091,0.18182,10,5,0
0,0.14286,0.0,0.27273,10,4,0
0,0.19048,0.0,0.36364,10,3,0
0,0.2381,0.0,0.45455,10,2,0
0,0.28571,0.0,0.54545,10,1,0
1,0.33333,0.09091,0.63636,10,1,0
1,0.33333,0.18182,0.54545,1,5,0
0,0.33333,0.18182,0.45455,1,4,0
0,0.33333,0.18182,0.45455,2,3,0
0,0.33333,0.18182,0.45455,3,2,0
0,0.33333,0.18182,0.45455,4,1,0
1,0.33333,0.27273,0.45455,5,1,0
1,0.33333,0.36364,0.36364,1,1,0
1,0.33333,0.45455,0.27273,1,1,0
1,0.38095,0.54545,0.27273,1,1,0
1,0.42857,0.63636,0.27273,1,9,0
0,0.42857,0.54545,0.27273,1,8,0
0,0.38095,0.45455,0.27273,2,7,0
0,0.38095,0.45455,0.27273,3,6,0
0,0.38095,0.45455,0.27273,4,5,0
0,0.38095,0.45455,0.27273,5,4,0
0,0.42857,0.45455,0.36364,6,3,1
0,0.42857,0.36364,0.45455,7,2,1
0,0.42857,0.27273,0.54545,8,1,1
1,0.42857,0.27273,0.63636,9,1,1
1,0.38095,0.27273,0.54545,1,1,0
1,0.38095,0.27273,0.54545,1,5,1
0,0.42857,0.27273,0.54545,1,4,0
0,0.47619,0.27273,0.63636,2,3,0
0,0.47619,0.27273,0.63636,3,2,0
0,0.47619,0.27273,0.63636,4,1,0
1,0.47619,0.36364,0.63636,5,1,0
1,0.52381,0.45455,0.63636,1,1,0
1,0.52381,0.54545,0.54545,1,1,0
1,0.52381,0.63636,0.45455,1,2,0
0,0.47619,0.54545,0.36364,1,1,0
1,0.47619,0.54545,0.45455,2,1,0
1,0.42857,0.54545,0.36364,1,1,0
1,0.42857,0.63636,0.27273,1,4,0
0,0.42857,0.63636,0.18182,1,3,0
0,0.42857,0.63636,0.18182,2,2,0
0,0.42857,0.63636,0.18182,3,1,0
