Predict Base,Probability Interval,Probability Previous,Probability Next,Time Previous,Time Next,classe
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.04762,0.0,0.09091,10,10,0
0,0.09524,0.0,0.18182,10,9,0
0,0.14286,0.0,0.27273,10,8,0
0,0.14286,0.0,0.27273,10,7,0
0,0.14286,0.0,0.27273,10,6,0
0,0.19048,0.0,0.36364,10,5,0
0,0.2381,0.0,0.45455,10,4,0
0,0.28571,0.0,0.54545,10,3,0
0,0.28571,0.0,0.54545,10,2,0
0,0.28571,0.0,0.54545,10,1,0
1,0.28571,0.09091,0.54545,10,1,0
1,0.28571,0.18182,0.45455,1,1,0
1,0.28571,0.27273,0.36364,1,3,0
0,0.33333,0.27273,0.36364,1,2,0
0,0.38095,0.27273,0.45455,2,1,0
1,0.42857,0.36364,0.54545,3,1,0
1,0.47619,0.45455,0.54545,1,1,0
1,0.52381,0.54545,0.54545,1,6,0
0,0.57143,0.54545,0.54545,1,5,0
0,0.57143,0.54545,0.54545,2,4,0
0,0.57143,0.54545,0.54545,3,3,0
0,0.52381,0.45455,0.54545,4,2,0
0,0.47619,0.36364,0.54545,5,1,0
1,0.42857,0.36364,0.54545,6,1,1
1,0.42857,0.45455,0.45455,1,1,1
1,0.42857,0.54545,0.36364,1,1,1
1,0.38095,0.54545,0.27273,1,1,1
1,0.33333,0.54545,0.18182,1,1,0
1,0.28571,0.54545,0.09091,1,10,1
0,0.28571,0.54545,0.0,1,10,0
0,0.33333,0.54545,0.09091,2,10,0
0,0.38095,0.54545,0.18182,3,9,0
0,0.38095,0.54545,0.18182,4,8,0
0,0.38095,0.54545,0.18182,5,7,0
0,0.33333,0.45455,0.18182,6,6,0
0,0.28571,0.36364,0.18182,7,5,0
0,0.2381,0.27273,0.18182,8,4,0
0,0.19048,0.18182,0.18182,9,3,0
0,0.14286,0.09091,0.18182,10,2,0
0,0.09524,0.0,0.18182,10,1,0
1,0.09524,0.09091,0.18182,10,1,0
1,0.09524,0.18182,0.09091,1,10,0
0,0.09524,0.18182,0.0,1,10,0
0,0.09524,0.18182,0.0,2,10,0
0,0.09524,0.18182,0.0,3,10,0
0,0.09524,0.18182,0.0,4,10,0
0,0.09524,0.18182,0.0,5,10,0
0,0.09524,0.18182,0.0,6,10,0
0,0.09524,0.18182,0.0,7,10,0
0,0.09524,0.18182,0.0,8,10,0
0,0.09524,0.18182,0.0,9,10,0
0,0.04762,0.09091,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
0,0.0,0.0,0.0,10,10,0
